File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\cardreader.cpp,CardReader::CardReader(),21,18,16,0,2,2,1,24,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\cardreader.cpp,"createFilename(char *buffer,const dir_t &p)",13,13,9,4,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\cardreader.cpp,"CardReader::lsDive(const char *prepend,SdFile parent)",80,66,41,16,11,2,3,19,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\cardreader.cpp,CardReader::ls(),7,6,5,1,1,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\cardreader.cpp,CardReader::initsd(),39,31,18,3,1,0,7,7,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\cardreader.cpp,CardReader::setroot(),8,3,3,0,1,0,4,4,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\cardreader.cpp,CardReader::release(),4,4,4,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\cardreader.cpp,CardReader::startFileprint(),6,6,4,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\cardreader.cpp,CardReader::pauseSDPrint(),5,5,3,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\cardreader.cpp,CardReader::openLogFile(const char* name),3,3,3,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\cardreader.cpp,"CardReader::openFile(const char* name,bool read)",94,82,55,9,7,3,5,18,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\cardreader.cpp,CardReader::removeFile(const char* name),69,58,39,7,6,2,5,17,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\cardreader.cpp,CardReader::getStatus(),15,15,11,2,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\cardreader.cpp,CardReader::write_command(char *buf),20,19,15,2,1,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\cardreader.cpp,CardReader::write_string(char* buffer),3,3,3,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\cardreader.cpp,CardReader::checkautostart(bool force),48,41,25,11,4,2,3,8,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\cardreader.cpp,CardReader::closefile(),5,5,5,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\cardreader.cpp,CardReader::getfilename(const uint8_t nr),7,6,6,0,1,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\cardreader.cpp,CardReader::getnrfilenames(),8,7,7,1,0,0,1,1,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\cardreader.cpp,CardReader::chdir(const char * relpath),22,20,13,4,2,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\cardreader.cpp,CardReader::updir(),8,8,5,2,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\cardreader.cpp,CardReader::printingHasFinished(),12,11,9,1,0,0,1,1,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\ConfigurationStore.cpp,"_EEPROM_writeData(int &pos, uint8_t* value, uint8_t size)",7,7,6,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\ConfigurationStore.cpp,"_EEPROM_readData(int &pos, uint8_t* value, uint8_t size)",7,7,6,0,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\ConfigurationStore.cpp,Config_StoreSettings(),53,53,45,0,0,2,0,5,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\ConfigurationStore.cpp,Config_PrintSettings(),61,57,55,0,4,1,0,14,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\ConfigurationStore.cpp,Config_RetrieveSettings(),69,61,48,2,3,1,5,68,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\ConfigurationStore.cpp,Config_ResetDefault(),58,49,39,1,7,2,2,27,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\electronics_test.cpp,send(const char c),3,3,3,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\electronics_test.cpp,sendHex(uint8_t c),10,9,5,2,1,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\electronics_test.cpp,send(const char* str),3,3,2,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\electronics_test.cpp,send_P(const char* str),3,3,2,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\electronics_test.cpp,sendADC(uint8_t nr),11,8,8,1,3,1,0,2,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\electronics_test.cpp,i2c_check_and_enable(),13,10,8,1,2,0,1,12,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\electronics_test.cpp,i2c_start(),3,3,3,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\electronics_test.cpp,i2c_send_raw(uint8_t data),4,4,4,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\electronics_test.cpp,i2c_recv_raw_no_ack(),4,4,4,2,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\electronics_test.cpp,i2c_end(),3,3,3,1,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\electronics_test.cpp,"addressWriteReg(uint8_t addr, uint8_t reg, uint8_t data)",13,13,11,3,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\electronics_test.cpp,addressI2C(uint8_t addr),11,11,9,3,0,0,0,0,
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2\electronics_test.cpp,handleCommand(char* command),70,70,63,6,0,10,0,17,
